,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,38778,166326,Private room,Incheon,Jung,0,,1,1.0,1.0,52.0,1.0,35.102234,129.039761,2016-10-29 00:48:46.909757
1,401105,2002115,Shared room,Busan,Haeundae,15,4.5,16,1.0,3.0,25.0,1.0,35.1615,129.158183,2016-10-28 23:04:37.217697
2,401106,2002115,Shared room,Busan,Haeundae,36,4.5,16,1.0,3.0,27.0,1.0,35.161623,129.159155,2016-10-29 00:16:32.954825
3,421791,2002115,Private room,Busan,Haeundae,8,4.0,2,1.0,,71.0,1.0,35.161431,129.159566,2016-10-28 23:30:45.084325
4,421816,2002115,Shared room,Busan,Haeundae,7,4.0,16,1.0,0.0,23.0,1.0,35.160548,129.15913,2016-10-29 00:03:59.292378
5,792696,4176391,Private room,Busan,Saha,11,5.0,8,1.0,2.0,41.0,1.0,35.080972,128.979529,2016-10-29 00:30:44.406331
6,792770,4176391,Private room,Busan,Saha,0,,5,1.0,2.0,41.0,1.0,35.079433,128.979062,2016-10-28 22:55:14.973578
7,792859,4176391,Private room,Busan,Saha,2,,8,1.0,2.0,41.0,1.0,35.081005,128.97932,2016-10-29 00:33:29.815624
8,794211,4176391,Private room,Busan,Saha,1,,1,1.0,2.0,41.0,1.0,35.080761,128.978992,2016-10-29 00:36:44.660558
9,794212,4176391,Private room,Busan,Saha,1,,10,1.0,2.0,41.0,1.0,35.079796,128.97745,2016-10-29 00:08:55.497423
10,873878,3679713,Private room,Busan,Haeundae,0,,2,1.0,0.0,63.0,1.0,35.16327,129.159615,2016-10-29 00:33:39.384764
11,873885,3679713,Private room,Busan,Haeundae,0,,2,1.0,,108.0,1.0,35.165067,129.159318,2016-10-29 00:25:22.434669
12,873895,3679713,Private room,Busan,Haeundae,1,,2,1.0,1.0,91.0,1.0,35.163111,129.159515,2016-10-29 00:35:13.950318
13,873901,3679713,Private room,Busan,Haeundae,1,,4,1.0,1.0,108.0,1.0,35.162884,129.159389,2016-10-28 23:33:09.085335
14,908820,4871565,Private room,Busan,Haeundae,126,5.0,2,1.0,1.0,40.0,1.0,35.153609,129.145825,2016-10-28 23:36:20.293568
15,954293,5182879,Shared room,Incheon,Jung,10,4.5,10,1.0,1.0,23.0,1.0,35.095385,129.028994,2016-10-28 22:38:34.032570
16,993142,5182879,Private room,Incheon,Jung,9,4.5,2,1.0,1.0,63.0,1.0,35.097116,129.029139,2016-10-28 22:40:19.044678
17,993237,5456413,Entire home/apt,Busan,Haeundae,27,5.0,10,3.0,1.0,87.0,,35.169713,129.184112,2016-10-28 23:34:34.273448
18,1028157,5658291,Private room,Busan,Dongnae,56,5.0,3,1.0,1.0,45.0,2.0,35.205295,129.068951,2016-10-28 22:57:08.907251
19,1034023,5690620,Private room,Busan,Suyeong,10,4.5,2,1.0,,45.0,1.0,35.141721,129.111477,2016-10-28 23:28:54.229680
20,1205184,6583319,Private room,Busan,Buk,0,,2,1.0,,52.0,1.0,35.214078,129.035804,2016-10-29 00:16:42.570845
21,1252781,6825896,Private room,Busan,Geumjeong,0,,2,1.0,1.0,49.0,1.0,35.254748,129.098713,2016-10-28 23:08:23.469467
22,1253120,6825896,Private room,Busan,Geumjeong,0,,1,1.0,1.0,49.0,1.0,35.254102,129.09862,2016-10-28 23:46:00.625827
23,1275356,6941381,Private room,Busan,Yeongdo,0,,4,1.0,,271.0,1.0,35.092165,129.064345,2016-10-28 23:04:15.880383
24,1276382,6941381,Private room,Busan,Yeongdo,12,4.5,4,1.0,1.0,54.0,1.0,35.093404,129.062962,2016-10-29 00:28:47.254709
25,1314303,6941381,Private room,Busan,Yeongdo,16,4.5,2,1.0,1.0,36.0,1.0,35.092344,129.063418,2016-10-28 23:49:46.158195
26,1321632,6941381,Shared room,Busan,Yeongdo,14,5.0,4,1.0,1.0,23.0,1.0,35.090665,129.066043,2016-10-29 00:04:12.811883
27,1333048,6894696,Private room,Busan,Haeundae,8,4.5,2,1.0,1.0,108.0,1.0,35.155513,129.147368,2016-10-28 22:44:35.803120
28,1352737,4218964,Private room,Busan,Haeundae,0,,4,1.0,1.0,90.0,1.0,35.163354,129.164178,2016-10-28 22:36:49.806850
29,1375670,6719858,Shared room,Busan,Haeundae,2,,6,1.0,1.0,22.0,1.0,35.161892,129.163905,2016-10-28 23:11:29.188328
30,1376309,6719858,Shared room,Busan,Haeundae,1,,6,1.0,1.0,22.0,1.0,35.163233,129.163706,2016-10-28 22:43:45.946632
31,1376346,6719858,Shared room,Busan,Haeundae,1,,3,1.0,1.0,81.0,1.0,35.16222,129.165683,2016-10-28 23:35:21.201459
32,1376370,6719858,Private room,Busan,Haeundae,2,,2,1.0,1.0,63.0,1.0,35.162347,129.164359,2016-10-29 00:17:42.218040
33,1388118,4218964,Shared room,Busan,Haeundae,2,,8,1.0,1.0,18.0,1.0,35.163505,129.164717,2016-10-28 23:42:57.856473
34,1394157,5182879,Private room,Incheon,Jung,1,,6,1.0,1.0,135.0,1.0,35.096222,129.031585,2016-10-29 00:50:34.160592
35,1394182,5182879,Private room,Incheon,Jung,6,4.5,2,1.0,1.0,63.0,1.0,35.096431,129.030061,2016-10-28 23:05:11.289735
36,1433607,4218964,Private room,Busan,Haeundae,2,,6,1.0,1.0,116.0,1.0,35.161849,129.164255,2016-10-28 22:52:06.910300
37,1447468,4019875,Private room,Busan,Dongnae,2,,4,1.0,1.0,206.0,1.0,35.207276,129.089026,2016-10-29 00:27:04.173550
38,1477346,7906622,Private room,Busan,Haeundae,9,4.5,4,1.0,1.0,95.0,1.0,35.17341,129.181258,2016-10-28 23:08:32.749247
39,1526526,8145086,Entire home/apt,Busan,Haeundae,35,5.0,16,5.0,3.0,406.0,1.0,35.160409,129.160292,2016-10-29 00:16:28.895778
40,1533916,8180419,Private room,Busan,Busanjin,34,4.5,3,1.0,1.0,61.0,1.0,35.149689,129.058134,2016-10-29 00:42:12.332927
41,1543309,8180419,Shared room,Busan,Busanjin,125,4.5,6,1.0,1.0,15.0,1.0,35.149015,129.058371,2016-10-28 23:20:42.664272
42,1543580,8180419,Shared room,Busan,Busanjin,123,4.5,4,1.0,,15.0,1.0,35.149491,129.058431,2016-10-28 23:11:20.798968
